ID,Title,Main Author,Year,Journal/Proceedings,Author's Discipline,Target Demographics,Specific Demographics,Target Field,AR Technology,Aditional Technologies,Custom Build,Goal Statement,Explicit Goal,Success,Failure Reasons,Knowledge Dimension,Cognitive Dimension,Positive Experiences,Negative Experiences
47,An Emerging Technology: Augmented Reality to Promote Learning,Ozdamli,2017,International Association of Online Engineering,Education;Social Science,University,Students in Computer Education and Instructional Technology,Computer Science,HP Reveal,Mobile,No,Identify hardware components of a computer,No,No,Main goal was not achieved,A,2,4.4,2.7;7.1
48,Applications of augmented reality-based natural interactive learning in magnetic field instruction,Cai,2017,Interactive Learning Environments,Education,Secondary,8th grade students,Physics,Kinect SDK,Kinect,Yes,Understands magnetic fields and induction lines,Yes,Yes,X,A,2,3.1;4.4,3.2
49,Applying Augmented Reality in practical classes for engineering students,Bazarov,2017,IOP Conf. Series: Earth and Environmental Science,Engineering,University,Engineering students,Engineering,Vuforia,Unity;Mobile,Yes,Recognize parts and function of different lab equipment incorporating AR technology,Yes,Partial,Poor testing and analisys,A;C,2,2.4;2.5,1.0
50,Augmented reality and pedestrian navigation through its implementation in m-learning and e-learning: Evaluation of an educational program in Chile,Joo-Nagata,2017,Computers & Education,Education;Computer Science,Secondary,12 to 14-year-old students,Social Studies,Junaio,GPS;Mobile,Yes,Identifies contents on heritage and territory of the city of Santiago,Yes,Yes,X,A,2,1.1;2.5;3.1;3.8,10.1
51,Augmented reality as a digital teaching environment to develop spatial thinking,Carbonell,2017,Cartography and Geographic Information Science,Engineering,University,2nd year engineering students,Engineering,AR Media,Mobile,No,Interprets relief information on a map,Yes,Yes,X,A;B,5,3.1;7.2,1.0
52,Augmented Reality Game-Based Learning: Enriching Students’ Experience During Reading Comprehension Activities,Tobar-Muñoz,2017,Journal of Educational Computing Research,Computer Science,Primary,3rd through 6th graders,Literacy,Not Clear,Mobile,Yes,Comprehends a reading story,Yes,No,Goal not reached,A;B,2,4.4,7.1;7.2;9.1
53,Augmented reality mobile app development for all,Mota,2017,Computers & Electrical Engineering,Computer Science,General,Unclear,Education,VEDILS;Vuforia,Mobile,Yes,Not a particular goal to analyse,Yes,Partial,Tool itself is not very well analysed,A;D,6,2.4;4.4,1.0
54,Effects of gender and different augmented reality learning systems on English vocabulary learning of elementary school students,Hsu,2017,Springer-Verlag GmbH,Humanities,Primary,3rd grade students,Literacy,Not Clear,Mobile,Yes,Recognize and correctly spell new english vocabulary,Yes,Yes,X,A,1,1.3;3.1;4.2,4.2;12.1
55,Exploring the effectiveness of integrating augmented reality-based materials to support writing activities,Wang,2017,Computers & Education,Education,Secondary,12th grade female students,Literature,HP Reveal,Mobile,No,Write creative texts,No,Yes,X,A;B;C,6,3.1;4.4,4.1
56,First Person Point of View Augmented Reality for Central Line Insertion Training: A Usability and Feasibility Study,Rochlen,2017,Journal of the Society for Simulation in Healthcare,Medicine,University,3rd and 4th year medical students,Medicine,Vuforia,Unity,Yes,Perform a needle insertion in a central venous catheter,Yes,Yes,X,A;B;C,2,8.2;8.3,11.2;11.4
57,Helping Hands: Using AugmentedReality to Provide Remote Guidance to Health,Mather,2017,Context Sensitive Health Informatics,Medicine,University,Paramedics Students,Medicine,OpenCV,Cameras,Yes,Correctly perform a hand hygiene procedure,Yes,Partial,Not a rigorous testing,C,3,2.5;7.4;8.1,12.3
58,How Augmented Reality Enables Conceptual Understanding of Challenging Science Content,Yoon,2017,Educational Technology & Society,Education;Science,Secondary,6th to 8th middle school students,Physics,Not Clear,Cameras,Yes,Understands Bernoulli's Principle,Yes,Yes,X,A;B,2,3.1;6.1,1.0
59,Interactive print: The design of cognitive tasks in blended augmented reality and print documents,Nadolny,2017,British Journal of Educational Technology,Education,General,Kindergarden to secondary school students,General,Not Clear,Mobile;Printed Books,Not Clear,Apply dimensional analysis;Follows the scientific method to answer a question,Yes,Yes,X,B;C,3,10.1,10.1;11.1
60,MAPILS: Mobile augmented reality plant inquiry learning system,Umer,2017,2017 IEEE Global Engineering Education Conference,Computer Science,Secondary,8th grade students,Biology,Vuforia,Unity,Yes,Recognizes different parts of a plant,No,Yes,X,A,1,4.4,10.1
61,Ontology-based mobile augmented reality in cultural heritage sites: information modeling and user study,Kim,2017,Multimed Tools Appl,Computer Science,General,Tourists,History,Semantic Web,Mobile,Yes,Search and conect information on cultural heritage sites,Yes,Partial,A lot of problems reported in comparison to positive experiences,A;B,4,4.4;7.4,2.5;4.2;11.4
62,Reading an augmented reality book: An exploration of learners’ cognitive load motivation and attitudes,Cheng,2017,Australasian Journal of Educational Technology,Communications,University,Social Science and Arts Students,Social Studies,Not Clear,Mobile;Printed Books,Yes,Learn about Hakka culture,Yes,Yes,X,A,1,4.2;4.4,1.0
63,Student Opinions on Mobile Augmented Reality Application and Developed Content in Science Class,Bratitsis,2017,IEEE 17th International Conference on Advanced Learning Technologies,Computer Science;Education,Primary,7th grade Students,Biology,WakingApp,Mobile,No,Identifies the fundamental elements of the water cycle,No,Partial,Minimal intervention of the AR technology,A,1,1.4;8.3,11.1
64,The effectiveness of virtual and augmented reality in health sciences and medical anatomy,Moro,2017,Anatomical Sciences Education,Medicine,University,Anatomy Students,Medicine,Not Clear,Mobile;Unity,Yes,Identifies the anatomy of the skull,Yes,Partial,Poor reported analisys of the AR app,A,1,7.1,4.1;11.2
65,The Effects of Augmented Reality on Elementary School Students’ Spatial Ability and Academic Achievement,Tosik,2017,Education and Science,Education,Primary,6th grade students,Maths,BuildAR,Not Clear,Yes,Measure the volume of a geometric object,Yes,No,Failed to outperform control group,A;B;C,1,3.8;4.2;6.1,2.3;2.5;7.1
66,The implementation of an AR (augmented reality) approach to support mammographic interpretation training: an initial feasibility study,Tang,2017,Medical Imaging 2017: Image Perception Observer Performance and Technology Assessment,Medicine;Computer Science,University,Profesional Radiologists,Medicine,Not Clear,Google Glass,Yes,Interpret a mamography,Yes,Partial,More a proof of concept than a test,C;D,4,7.4,2.3;7.1
67,To Activate English Learning: Listen and Speak in Real Life Context with an AR Featured U-Learning System,Ho,2017,International Forum of Educational Technology & Society,Computer Science;Design,General,No specifics,Literacy,Wikitude,Not Clear,Yes,Develop english as a foreign language,No,Yes,X,A;B,3,1.4,1.0
